fs_type,D,W,F,profile_name,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,distribution,locality,zipf_s,operations,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_usage_bytes
A,2,50,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.34671,0.979,2.88917e+06,216237
A,2,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.328787,0.896,3.0434e+06,182576
A,2,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.301419,0.8125,3.31809e+06,172084
A,2,50,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.512235,1.417,1.95383e+06,216551
A,2,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.459,1.229,2.18008e+06,181208
A,2,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.42163,1.146,2.3778e+06,172258
A,3,30,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.602815,1.8955,1.67205e+06,860855
A,3,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.384869,1.042,2.59874e+06,782247
A,3,30,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.342122,0.9165,2.92433e+06,770591
A,3,30,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.424192,1.0835,2.36115e+06,863261
A,3,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.386604,1.1665,2.58902e+06,782840
A,3,30,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.485128,1.354,2.07168e+06,768363
A,3,30,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.406415,1.0835,2.46513e+06,862192
A,3,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.376209,1.042,2.65899e+06,786008
A,3,30,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.339439,0.896,2.94624e+06,767891
A,3,50,0.3,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.87331,2.4165,1.22416e+06,4391376
A,3,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.463097,1.5415,2.1599e+06,4296202
A,3,50,0.3,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.432747,1.458,2.31695e+06,4277700
A,3,50,0.6,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,1.00472,2.854,995390,4394456
A,3,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.478147,1.5415,2.09167e+06,4291869
A,3,50,0.6,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.372995,1.1255,2.6837e+06,4273494
A,3,50,0.95,backup,0.1,0.7,0,0,0.2,0,uniform,0,0,2000,2,0.625574,1.646,1.60025e+06,4389435
A,3,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.3,1.5,2000,2,0.612682,1.9165,1.69055e+06,4293440
A,3,50,0.95,backup,0.1,0.7,0,0,0.2,0,zipf,0.8,2,2000,2,0.490665,1.563,2.09177e+06,4278786
A,2,5,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,uniform,0,0,2000,2,0.569197,5.188,1.75821e+06,28574
A,2,5,0.3,build_system,0.5,0.25,0.1,0.05,0.05,0.05,zipf,0.3,1.5,2000,2,0.7166,8.25,1.41284e+06,27194
